encounter_datetime,park_area_id,park_division,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
07/07/2020 12:17:00 PM,X030,Recreation,Social Distancing,Social Distancing,172,47,Basketball court,,,,,Bronx
07/07/2020 03:04:00 AM,X045-03,Recreation,Social Distancing,Social Distancing,58,0,Adult fitness equipment,,,,,Bronx
07/07/2020 03:15:00 PM,Q304,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 03:03:00 PM,Q207,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:44:00 PM,X045-02,Recreation,Social Distancing,Social Distancing,22,0,Bench/sitting area,,,,,Bronx
07/07/2020 11:08:00 AM,Q015-08,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:51:00 PM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/04/2020 11:00:00 AM,R046,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/03/2020 10:00:00 AM,R046-06,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/04/2020 02:00:00 PM,R046,Recreation,Social Distancing,Social Distancing,3,3,Walking path,,,,,Staten Island
07/07/2020 02:40:00 PM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/07/2020 02:45:00 PM,Q319,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:41:00 PM,Q099-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:39:00 PM,Q377,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 02:38:00 PM,Q357B,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:20:00 AM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 01:00:00 PM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/07/2020 10:00:00 AM,Q024,Recreation,Social Distancing,Social Distancing,3,0,Walking path,,,,,Queens
07/07/2020 01:00:00 PM,B035,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/07/2020 10:30:00 AM,B035,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/07/2020 10:00:00 AM,Q024,Recreation,Social Distancing,Social Distancing,3,0,Walking path,,,,,Queens
07/07/2020 11:30:00 AM,X045,Recreation,Social Distancing,Social Distancing,0,9,Bench/sitting area,,,,,Bronx
07/07/2020 11:30:00 AM,Q006,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:00:00 AM,X045,Recreation,Social Distancing,Social Distancing,0,23,Basketball court,,,,,Bronx
07/07/2020 11:00:00 AM,Q347,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 01:00:00 PM,Q051,Recreation,Social Distancing,Social Distancing,0,4,Bench/sitting area,,,,,Queens
07/07/2020 10:30:00 AM,Q308,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:00:00 AM,Q211,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 09:30:00 AM,Q326,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 12:55:00 PM,M030,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 12:50:00 PM,M246,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 12:27:00 PM,M019,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 12:27:00 PM,M019,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 12:05:00 PM,M206,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 11:30:00 AM,M082,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 11:00:00 AM,M171,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:45:00 AM,M132,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:15:00 AM,M019,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 09:45:00 AM,M206,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 09:30:00 AM,M194,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 12:17:00 PM,X030,Recreation,Social Distancing,Social Distancing,172,47,Basketball court,,,,,Bronx
07/07/2020 12:00:00 AM,X092,Recreation,Social Distancing,Social Distancing,0,20,Walking path,,,,,Bronx
07/07/2020 11:40:00 AM,X104,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/07/2020 08:57:00 AM,X104,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/07/2020 08:30:00 AM,X104,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/07/2020 12:18:00 PM,X030,Recreation,Social Distancing,Social Distancing,172,0,Track/field area,,,,,Bronx
07/07/2020 11:40:00 AM,Q102,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:54:00 AM,X238,Recreation,Social Distancing,Social Distancing,8,0,Playground,,,,,Bronx
07/07/2020 11:45:00 AM,X246,Recreation,Social Distancing,Social Distancing,0,0,Walking path,,,,,Bronx
