encounter_datetime,park_area_id,park_division,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
06/10/2020 11:00:00 AM,M105,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 11:00:00 AM,X103,Recreation,No encounter,No Encounter,,,,,,,,Bronx
06/10/2020 10:40:00 AM,M082,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:30:00 AM,X045-01,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Handball court,6.0,Yes,No,Bronx
06/10/2020 11:00:00 AM,Q104,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/10/2020 10:20:00 AM,Q014,Recreation,Social Distancing (groups of 3 or more),Social Distancing,1,0,Walking path,,,,,Queens
06/10/2020 11:00:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,0,Bench/sitting area,,,,,Queens
06/10/2020 11:00:00 AM,M165,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:30:00 AM,M132,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 11:00:00 AM,M105,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:15:00 AM,X045-03,Recreation,No encounter,No Encounter,,,,,,,,Bronx
06/10/2020 10:20:00 AM,M019,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:45:00 AM,M144,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:55:00 AM,X045-01,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,62.0,No,No,Bronx
06/10/2020 10:05:00 AM,M206,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:30:00 AM,X045-03,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,43.0,No,No,Bronx
06/10/2020 10:35:00 AM,Q048,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/10/2020 10:45:00 AM,M056,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:30:00 PM,M022,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:37:00 AM,M015,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:35:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,8,0,Open field/multi-purpose play area,,,,,Queens
06/10/2020 10:30:00 AM,M289,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:00:00 AM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/10/2020 10:12:00 AM,M194,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 10:10:00 AM,M206,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/10/2020 09:49:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,0,Walking path,,,,,Queens
06/10/2020 08:30:00 AM,X104,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,18,Track/field area,,,,,Bronx
06/10/2020 08:30:00 AM,X104,Recreation,Social Distancing (groups of 3 or more),Social Distancing,7,0,Open field/multi-purpose play area,,,,,Bronx
06/10/2020 07:50:00 AM,X045-01,Recreation,Social Distancing (groups of 3 or more),Social Distancing,4,0,Walking path,,,,,Bronx
06/08/2020 03:35:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 04:15:00 PM,M206,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 04:00:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,15,1,Bench/sitting area,,,,,Queens
06/09/2020 03:50:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,15,0,Soccer field,,,,,Queens
06/09/2020 03:45:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,15,0,Bench/sitting area,,,,,Queens
06/09/2020 03:25:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,0,Walking path,,,,,Queens
06/09/2020 03:20:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,15,0,Open field/multi-purpose play area,,,,,Queens
06/09/2020 03:10:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,10,1,Soccer field,,,,,Queens
06/09/2020 06:30:00 PM,R046,Parks Ambassador,Social Distancing (groups of 3 or more),Social Distancing,7,0,Bench/sitting area,,,,,Staten Island
06/08/2020 03:00:00 PM,Q448,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,0,Walking path,,,,,Queens
06/09/2020 03:30:00 PM,B060,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/09/2020 12:30:00 PM,B035,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/09/2020 01:00:00 PM,R038A,Aquatics,Social Distancing (groups of 3 or more),Social Distancing,45,0,Bench/sitting area,,,,,Staten Island
06/09/2020 09:30:00 AM,R038A,Aquatics,Social Distancing (groups of 3 or more),Social Distancing,45,0,Bench/sitting area,,,,,Staten Island
06/09/2020 09:20:00 AM,B035,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/09/2020 02:00:00 PM,Q121-02,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 01:00:00 PM,Q051,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 11:30:00 AM,Q413,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 10:30:00 AM,Q121,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 04:15:00 PM,M206,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 04:08:00 PM,M019,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:57:00 PM,M132,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 02:30:00 PM,Q121-02,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 03:32:00 PM,M064,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 12:30:00 PM,Q413,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 03:06:00 PM,M391,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 11:30:00 AM,Q051,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 10:00:00 AM,Q121,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 04:15:00 PM,M206,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 04:08:00 PM,M019,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:57:00 PM,M132,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:32:00 PM,M064,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:06:00 PM,M391,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:40:00 PM,Q015,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 04:10:00 PM,R046-01,Recreation,Social Distancing (groups of 3 or more),Social Distancing,7,0,Bench/sitting area,,,,,Staten Island
06/09/2020 04:17:00 PM,M246,City Wide Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:57:00 PM,R046-01,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
06/09/2020 03:27:00 PM,R046-05,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
06/09/2020 03:15:00 PM,R046-06,Recreation,Social Distancing (groups of 3 or more),Social Distancing,6,0,Walking path,,,,,Staten Island
12/09/2020 04:05:00 PM,M015,City Wide Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 02:35:00 AM,R046-07,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
06/09/2020 02:05:00 PM,R046,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
12/09/2020 03:50:00 PM,M030,City Wide Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
12/09/2020 03:34:00 PM,M013,City Wide Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
12/09/2020 03:20:00 PM,M385,City Wide Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 04:00:00 PM,X040,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,8.0,Yes,Yes,Bronx
12/09/2020 03:10:00 PM,M378,City Wide Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 04:05:00 AM,X045-01,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,62.0,No,No,Bronx
06/09/2020 04:30:00 PM,M010,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:58:00 PM,X045-03,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,109.0,No,No,Bronx
06/09/2020 03:00:00 PM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 03:15:00 PM,M047-01,Recreation,Social Distancing (groups of 3 or more),Social Distancing,57,0,Open field/multi-purpose play area,,,,,Manhattan
06/09/2020 02:35:00 AM,M235,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 12:30:00 PM,X040,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,6.0,Yes,Yes,Bronx
06/09/2020 03:00:00 PM,Q448,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 02:20:00 PM,M105,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 02:00:00 PM,M105,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:30:00 PM,M022,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 03:00:00 PM,M071,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 01:15:00 PM,X045-02,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,78.0,No,Yes,Bronx
06/09/2020 08:15:00 AM,X045-03,Recreation,Social Distancing (groups of 3 or more),Social Distancing,4,3,Open field/multi-purpose play area,,,,,Bronx
06/09/2020 02:30:00 PM,Q102,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 03:00:00 PM,Q448,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,0,Walking path,,,,,Queens
06/09/2020 11:00:00 AM,M056,Recreation,Social Distancing (groups of 3 or more),Social Distancing,100,0,Open field/multi-purpose play area,,,,,Manhattan
06/09/2020 10:30:00 AM,M077,Recreation,Social Distancing (groups of 3 or more),Social Distancing,200,10,Open field/multi-purpose play area,,,,,Manhattan
06/09/2020 10:00:00 AM,M155,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 09:30:00 AM,M186,Recreation,Social Distancing (groups of 3 or more),Social Distancing,20,10,Bench/sitting area,,,,,Manhattan
06/09/2020 09:00:00 AM,M160,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 01:28:00 PM,X092,Recreation,Social Distancing (groups of 3 or more),Social Distancing,120,12,Open field/multi-purpose play area,,,,,Bronx
06/09/2020 02:00:00 PM,X104,Recreation,Social Distancing (groups of 3 or more),Social Distancing,15,1,Open field/multi-purpose play area,,,,,Bronx
06/09/2020 02:30:00 PM,M056,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 11:00:00 AM,M071,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 02:24:00 PM,M011,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,1,Bench/sitting area,,,,,Manhattan
06/09/2020 02:15:00 PM,Q014,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,2.0,Yes,Yes,Queens
06/09/2020 02:20:00 PM,M011,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,3.0,Yes,Yes,Manhattan
06/08/2020 02:53:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,0,Open field/multi-purpose play area,,,,,Queens
06/08/2020 03:38:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,3,6,Walking path,,,,,Queens
06/09/2020 01:00:00 PM,Q051,Recreation,Social Distancing (groups of 3 or more),Social Distancing,3,3,Bench/sitting area,,,,,Queens
06/09/2020 01:00:00 PM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/08/2020 03:20:00 PM,Q099,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Skate Park,12.0,Yes,Yes,Queens
06/09/2020 01:10:00 PM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 03:11:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,9,2,Walking path,,,,,Queens
06/08/2020 03:09:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,6,0,Parking Lot,,,,,Queens
06/08/2020 03:06:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,7,0,Open field/multi-purpose play area,,,,,Queens
06/09/2020 01:18:00 PM,M011,Recreation,Social Distancing (groups of 3 or more),Social Distancing,6,1,Bench/sitting area,,,,,Manhattan
06/08/2020 02:57:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,7,0,Walking path,,,,,Queens
06/09/2020 01:15:00 PM,M011,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,3.0,Yes,Yes,Manhattan
06/08/2020 02:15:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,8,0,Soccer field,,,,,Queens
06/08/2020 02:09:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,12,0,Soccer field,,,,,Queens
06/09/2020 12:15:00 PM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 12:00:00 PM,Q048,Recreation,Social Distancing (groups of 3 or more),Social Distancing,2,0,Walking path,,,,,Queens
06/09/2020 12:00:00 PM,Q319,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 11:30:00 AM,Q377,Recreation,Social Distancing (groups of 3 or more),Social Distancing,7,7,Open field/multi-purpose play area,,,,,Queens
06/09/2020 11:00:00 AM,Q357B01,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 10:45:00 AM,Q357B,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 12:30:00 PM,Q395,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 12:15:00 PM,Q444,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 12:00:00 PM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 12:05:00 PM,Q401,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,2.0,Yes,Yes,Queens
06/09/2020 10:55:00 AM,Q468,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 08:50:00 AM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 11:00:00 AM,X033-01,Recreation,Social Distancing (groups of 3 or more),Social Distancing,10,0,Bench/sitting area,,,,,Bronx
06/09/2020 10:50:00 AM,Q102,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 10:30:00 AM,X104,Recreation,Social Distancing (groups of 3 or more),Social Distancing,13,0,Open field/multi-purpose play area,,,,,Bronx
06/09/2020 10:15:00 AM,M005-02,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 11:00:00 AM,X045-01,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,63.0,No,No,Bronx
06/09/2020 10:15:00 AM,M005-02,city wide aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 09:50:00 AM,M283,city wide aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 10:55:00 AM,X045-03,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,48.0,No,No,Bronx
06/09/2020 09:50:00 AM,M283,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 09:08:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,12,8,Soccer field,,,,,Queens
06/08/2020 09:01:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,20,0,Open field/multi-purpose play area,,,,,Queens
06/09/2020 08:45:00 AM,X104,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,10,Track/field area,,,,,Bronx
06/09/2020 11:30:00 AM,M022,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 11:30:00 AM,M010,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 11:03:00 AM,M283-02,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 11:03:00 AM,M283-01,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 09:25:00 AM,X002,Recreation,Social Distancing (groups of 3 or more),Social Distancing,15,0,Walking path,,,,,Bronx
06/09/2020 10:42:00 AM,M242,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 10:42:00 AM,M242,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 10:19:00 AM,M015,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 10:19:00 AM,M015,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 10:03:00 AM,M246,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 10:03:00 AM,M246,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 08:41:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,15,0,Soccer field,,,,,Queens
06/09/2020 09:47:00 AM,M194,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 09:47:00 AM,M194,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 10:30:00 AM,Q104,Recreation,Social Distancing (groups of 3 or more),Social Distancing,2,0,Bench/sitting area,,,,,Queens
06/09/2020 11:00:00 AM,M071,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/09/2020 09:00:00 AM,X180,Recreation,No encounter,No Encounter,,,,,,,,Bronx
06/09/2020 10:45:00 AM,M056,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 08:30:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,12,Open field/multi-purpose play area,,,,,Queens
06/08/2020 03:45:00 PM,M022,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Handball court,1.0,Yes,Yes,Manhattan
06/09/2020 10:00:00 AM,Q448,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,3,Track/field area,,,,,Queens
06/09/2020 10:30:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 08:25:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,0,Open field/multi-purpose play area,,,,,Queens
06/08/2020 10:35:00 AM,X040,Recreation,Social Distancing (groups of 3 or more),Social Distancing,6,0,Bench/sitting area,,,,,Bronx
06/09/2020 10:00:00 AM,Q048,Recreation,Social Distancing (groups of 3 or more),Social Distancing,1,0,Walking path,,,,,Queens
06/09/2020 09:00:00 AM,X045-02,Recreation,No encounter,No Encounter,,,,,,,,Bronx
06/09/2020 08:45:00 AM,X045,Recreation,Social Distancing (groups of 3 or more),Social Distancing,7,0,Bench/sitting area,,,,,Bronx
06/09/2020 08:20:00 AM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,0,Walking path,,,,,Queens
06/09/2020 10:00:00 AM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
06/09/2020 10:05:00 AM,M011,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,3.0,Yes,Yes,Manhattan
06/09/2020 10:03:00 AM,M010,Recreation,Social Distancing (groups of 3 or more),Social Distancing,4,2,Bench/sitting area,,,,,Manhattan
06/09/2020 09:45:00 AM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/09/2020 09:45:00 AM,M047-01,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,31.0,Yes,No,Manhattan
06/09/2020 08:45:00 AM,X092,Recreation,Social Distancing (groups of 3 or more),Social Distancing,6,0,Bench/sitting area,,,,,Bronx
06/06/2020 09:30:00 AM,Q099,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/09/2020 09:15:00 AM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
06/09/2020 08:30:00 AM,X104,Recreation,Social Distancing (groups of 3 or more),Social Distancing,10,0,Open field/multi-purpose play area,,,,,Bronx
06/08/2020 03:45:00 PM,M022,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Handball court,1.0,Yes,Yes,Manhattan
06/08/2020 06:30:00 PM,R046,Parks Ambassador,Social Distancing (groups of 3 or more),Social Distancing,8,0,Bench/sitting area,,,,,Staten Island
06/08/2020 03:00:00 PM,Q448,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,0,Walking path,,,,,Queens
06/08/2020 03:30:00 PM,Q048,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 03:35:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 03:35:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 04:00:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,2,0,Walking path,,,,,Queens
06/08/2020 03:00:00 PM,Q099,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,0,Walking path,,,,,Queens
06/08/2020 04:04:00 PM,X217,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,0,Open field/multi-purpose play area,,,,,Bronx
06/08/2020 10:30:00 AM,Q024,Recreation,Social Distancing (groups of 3 or more),Social Distancing,2,0,Baseball field,,,,,Queens
06/08/2020 10:10:00 AM,Q024,Recreation,Social Distancing (groups of 3 or more),Social Distancing,2,0,Bench/sitting area,,,,,Queens
06/08/2020 10:00:00 AM,Q024,Recreation,Social Distancing (groups of 3 or more),Social Distancing,1,0,Walking path,,,,,Queens
05/08/2020 05:00:00 PM,X040,Recreation,Social Distancing (groups of 3 or more),Social Distancing,4,6,Bench/sitting area,,,,,Bronx
06/08/2020 04:15:00 PM,Q211,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 03:30:00 PM,Q308,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 04:45:00 PM,X040,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,6.0,Yes,No,Bronx
06/08/2020 10:00:00 AM,Q099,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 03:00:00 PM,B035,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/08/2020 11:30:00 AM,B035,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/08/2020 09:30:00 AM,B035,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/08/2020 03:40:00 PM,Q015,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 04:10:00 PM,R046-01,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
06/08/2020 03:55:00 PM,R046-05,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
06/08/2020 02:45:00 PM,R046,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
06/08/2020 03:45:00 PM,M022,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Handball court,1.0,Yes,Yes,Manhattan
06/08/2020 10:45:00 AM,M022,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 04:30:00 PM,M010,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 03:37:00 PM,Q395,Recreation,Social Distancing (groups of 3 or more),Social Distancing,3,0,Bench/sitting area,,,,,Queens
06/08/2020 03:25:00 PM,Q218,Recreation,Social Distancing (groups of 3 or more),Social Distancing,6,0,Open field/multi-purpose play area,,,,,Queens
06/08/2020 03:20:00 AM,X045-01,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Adult fitness equipment,40.0,No,No,Bronx
06/08/2020 03:35:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 01:25:00 PM,X040,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,1,Bench/sitting area,,,,,Bronx
06/08/2020 03:00:00 PM,X045-03,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,125.0,No,No,Bronx
06/08/2020 02:25:00 PM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/07/2020 02:45:00 PM,Q102-03,Recreation,Social Distancing (groups of 3 or more),Social Distancing,50,10,Open field/multi-purpose play area,,,,,Queens
06/08/2020 02:30:00 PM,X092,Recreation,Social Distancing (groups of 3 or more),Social Distancing,60,0,Open field/multi-purpose play area,,,,,Bronx
06/08/2020 03:00:00 PM,Q448,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 02:35:00 PM,X092,Recreation,Social Distancing (groups of 3 or more),Social Distancing,8,0,Bench/sitting area,,,,,Bronx
06/08/2020 03:15:00 PM,M047-01,Recreation,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,21.0,Yes,No,Manhattan
06/08/2020 03:00:00 PM,Q448,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,0,Walking path,,,,,Queens
06/08/2020 11:00:00 AM,B077,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/08/2020 02:40:00 PM,Q102,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 11:39:00 AM,M056,Recreation,Social Distancing (groups of 3 or more),Social Distancing,80,20,Bench/sitting area,,,,,Manhattan
06/08/2020 02:00:00 PM,M014,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 10:45:00 AM,M022,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 10:30:00 AM,M077,Recreation,Social Distancing (groups of 3 or more),Social Distancing,150,0,Open field/multi-purpose play area,,,,,Manhattan
06/08/2020 10:00:00 AM,M186,Recreation,Social Distancing (groups of 3 or more),Social Distancing,30,10,Bench/sitting area,,,,,Manhattan
06/08/2020 10:00:00 AM,M160,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 09:30:00 AM,M217,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
06/08/2020 02:30:00 PM,B245,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/08/2020 12:00:00 PM,X092,Recreation,Social Distancing (groups of 3 or more),Social Distancing,2,0,Track/field area,,,,,Bronx
06/08/2020 01:30:00 PM,Q448,Recreation,Social Distancing (groups of 3 or more),Social Distancing,5,4,Bench/sitting area,,,,,Queens
06/08/2020 11:30:00 PM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/08/2020 02:07:00 PM,X045,Recreation,Social Distancing (groups of 3 or more),Social Distancing,1,0,Bench/sitting area,,,,,Bronx
06/08/2020 02:00:00 PM,X045,Recreation,Social Distancing (groups of 3 or more),Social Distancing,0,0,Open field/multi-purpose play area,,,,,Bronx
06/08/2020 01:50:00 PM,X045-01,Recreation,Social Distancing (groups of 3 or more),Social Distancing,54,1,Open field/multi-purpose play area,,,,,Bronx
06/08/2020 01:36:00 PM,X045-02,Recreation,Social Distancing (groups of 3 or more),Social Distancing,11,1,Walking path,,,,,Bronx
06/08/2020 01:27:00 PM,X045-03,Recreation,Social Distancing (groups of 3 or more),Social Distancing,144,2,Adult fitness equipment,,,,,Bronx
